ACCLIVITY|오르막|sharp upslope cf.declivity|2015-03-13 오후 2:46:15
PEDIMENT|n.:triangular part above columns in Greek buildings:박공(건물 기둥 위에 천정을 떠받치는 부분)|The pediment of the building was filled with sculptures and adorned with elaborate scrollwork.|그 건물의 박공은 조각들로 가득 찼고 정교한 소용돌이 장식으로 꾸몄다.  참고:
PEJORATIVE|a.:having a deteriorating or depreciating effect on the meaning of a word:경멸적인, 가치를 떨어뜨리는|His use of pejorative language indicated his contempt for his audience.|그가 경멸적인 말을 사용한 것은 청중에 대한 경멸을 나타낸 것이었다.  참고:[+] depreciatory, derogatory, detracting, disparaging
PELF|n.:stolen property; money or wealth in a contemptuous sense:부정한 재산; 경멸적 의미로의 금전|Your possessions are only pelf; they will give you no lasting pleasure.|당신의 소유물들은 부정한 재물들일 뿐이므로 당신에게 지속적인 기쁨을 주지는 못할 것이다.  참고:
PELL-MELL|a.:in confusion; disorderly:어리둥절하여; 무질서하게, 뒤범벅으로|The excited students dashed pell-mell into the stadium to celebrate the victory.|흥분한 학생들은 승리를 축하하기 위해 경기장으로 우르르 몰려나왔다.  참고:[+] frantically, madly
PELLUCID|a.:transparent; limpid; easy to understand:투명한; 맑은; 명료한|After reading these stodgy philosophers, I find his pellucid style very enjoyable.|이런 지루한 철학자들의 작품을 읽어본 후에 나는 그의 명료한 문체가 매우 기분 좋은 것임을 알았다.  참고:[+] lucent, lucid, translucent
PENANCE|n.:self-imposed punishment for sin:참회; 속죄 행위, 고해성사|The Ancient Mariner said, "I have penance done and penance mere will do." To atone for the sin of killing the albatross.|늙은 수부는 신천옹을 죽인 그의 죄를 속죄하기 위해 '나는 속죄를 했고 앞으로 더 속죄할 것이다.'라고 말했다.  참고:[+] compunction, contrition, penitence, remorse, repentance, rue
PENCHANT|n.:strong inclination; liking:취미; 기호|He had a strong penchant for sculpture and owned many statues.|그는 조각에 대한 취미가 대단해서 많은 조각상을 소유했었다.  참고:[+] predilection, predisposition, proclivity, propensity, tendency; [-] dislike(혐오)
PENDANT|a.:hanging down from something:매달린|Her pendant earrings glistened in the light.|그녀의 늘어뜨린 귀걸이가 빛에 반짝거렸다.  참고:[+] pendent, pendulent, pendulous
PENDENT|a.:suspended; jutting; pending:미결의; 쑥내민; 계류중인|The pendent rock hid the entrance to the cave.|튀어나온 바위가 동굴 입구를 가리켰다.  참고:[+] pendant, pendulant, pendulous; undecided, undetermined
PENDULOUS|a.:hanging; suspended:걸려있는; 떠있는|The pendulous chandeliers swayed in the breeze and gave the impression that they were about to fall from the ceiling.|매달려있는 샹들리에는 산들바람에 흔들려 천장으로부터 막 떨어질 것 같았다.  참고:[+] pendant, pendent, pendulant
PENITENT|a.:repentant:죄를 뉘우치는|When he realized the enormity of his crime, he became remorseful and penitent.|그는 자기 범죄의 흉악성을 깨닫고 양심의 가책을 느껴 회개하였다.  참고:[+] contrite, remorseful
PENNATE|a.:having wings or feathers:날개나 깃이 달린|The pennate leaves of the sumac remind us of feathers.|슈막의 깃털이 있는 잎들은 우리에게 새의 깃털을 생각나게 한다.  참고:
PENSIVE|a.:dreamily thoughtful; thoughtful with a hint of sadness:각에 잠긴; 시름에 잠긴|The pensive youth gazed at the painting for a long time and then sighed.; You seem to be in a very pensive mood. I hope that nothing is wrong.|깊은 생각에 잠긴 천년이 오랫동안 그림을 응시하다가 한숨을 내쉬었다.  참고:[+] cogitative, meditative , musing, pondering, reflecting.
PENUMBRA|n.:partial shadow in an eclipse:일(월)식에서 생기는 반영부|During an eclipse, we can see an area of total darkness and a lighter area which is the penumbra.|식(蝕) 현상이 있는 동안 우리는 전체 모두가 어두운 지역과 반영부보다 밝은 지역을 볼 수 있다.  참고:[+] adumbration
PENURIOUS|a.:stingy; parsimonious:인색한; 빈곤한|He was a penurious man, averse to spending money even for the necessities of life.|그는 인색한 사람이어서 생활필수품에 돈을 쓰는 것을 꺼려했다.  참고:[+] niggardly, miserly
PENURY|n.:extreme poverty:빈궁|We find much penury and suffering in this slum area.|우리는 이 빈민가에서 빈곤과 고통을 많이 본다.  참고:[+] destitution, impecuniousness, impoverishment, indigence
PEON|n.:unskilled laborer; drudge:막노동꾼|He was doomed to be a peon, to live a lowly life of drudgery and toil.|그는 힘겹고 고된 일을 하며 초라한 삶을 살아가는 막노동꾼으로 운명지어졌다.  참고:[+] drudge
PERCUSSION|n.:striking one object against another sharply:충돌; 진동|The drum is a percussion instrument.|드럼은 타악기다.  참고:[+] collision, crash, impact
PERDITION|n.:damnation; complete ruin:지옥에 떨어짐; 파멸|He was damned to eternal perdition.|그는 영원히 파멸토록 저주받았다.  참고:[+] downfall
PEREGRINATION|n.:journey:여행|His peregrinations in foreign lands did not bring understanding; he mingled only with fellow tourists and did not attempt to communicate with the native population.|그는 외국 여행들을 통해서 지식을 얻지 못했다; 동료 여행가들과만 어울렸지 원주민과는 대화 하려고 하지 않았다.  참고:
PEREMPTORY|a. per(=intensive) + empt(=take):not to be disobeyed or questioned ; dogmatic ; insisting upon obedience ; imperious / demanding and leaving no choice:<명령이> 단호한 ; 독단적인 ; 강제적인 ; 거만한|Although I had no objection to proposal as such, I so resented the perremptory tone in which he spoke to me that I refused to cooperate. ; I resent your peremptory attitude.|나느 그의 제안 자체에는 반대하지 않겠지만 나에게 말하는 그 독단적인 말투에 화가 나서 협력하기를 거부했다. ; 나는 당신의 거만한 태도에 분개한다.  참고:[+] unfaltering, absolute, uncompromising
PERENNIAL|n.a. per(=through, throughout) + enn < an (=year):perennial plant / continuing throughout the whole year ; lasting for a very long time ; living for more than two years:다년생식물 / 연중 끊이지 않는 ; 오랫동안 계속되는 ; <식물이> 다년생의|Since we do not want to replace our plantings every year, we favor perennials over annuals. ; These plants are hardy perennials and will bloom for many years.|매년 바꾸어 심기를 원치 않았기 때문에 우리는 일년생 식물보다 여러해가는 다년생 식물을 선호한다. ; 이 식물들은 내한성을 갖는 다년생 식물이어서 여러 해 동안 꽃을 피울 것이다.  참고:[-] fleeting(잠시 동안의)
PERFIDIOUS|a. per(=through, falsely) + fid(=trust):faithless ; treacherous / basely false:불신의,불성실한 ; 배반하는,딴마음 있는 / 딴 마음이 있는, 배신의|His intense greed and lack of confidence in our good faith turned him into a perfidious associate who sold our formulas to the competitors. ; Your perfidious gossip is malicious and dangerous.|그의 강한 탐욕과 우리들의 신의에 대한 자신감의 결여 때문에 그는 배반 자가 되어 우리의 공식을 경쟁자들에게 팔아넘겼다. ; 당신의 거짓된 소문은 악의가 있고 위험스럽다.  참고:[+] disloyal, recreant, treacherous
PERFIDY|n.:violation of a trust:불신; 배반|When we learned of his perfidy, we were shocked and dismayed.|우리는 그의 배신에 대해 알았을 때 충격을 받았고 당황했다.  참고:[+] treachery, disloyalty, faithlessness; [-] gratitude(감사)
PERFORATE|v.:pierce; put a hole through:꿰뚫다, 관통하다|Before you can open the aspirin bottle, you must first perforate the plasc safety seal that covers the cap.|너는 아스피린 병을 열기 전에 뚜껑을 덮고 있는 플라스틱 안전 봉합을 먼저 뚫어야만 한다.  참고:[+] penetrate
PERFORCE|a.:of necessity:부득이; 필연적으로, 억지로, 폭력으로|I must perforce leave, as my train is about to start.|나는 열차가 출발할 때 쯤 이면 떠나야 한다.  참고:[+] inevitably, unavoidably
PERFUNCTORY|a. per(=falsely) + funct(=perform):done as a duty or routine but without care or interest ; doing things without concern or solicitude / superficial; listless; not thorough:형식적인, 마지못한 ; 기계적인, 아무렇게나 하는 / 피상적인, 무관심한; 불철저한|Perhaps we were so overjoyed that the great man actually condescended to give us a perfunctory nod as we passed by. ; He overlooked many weaknesses when he inspected the factory in his perfunctory manner.|어쩌면 우리가 너무나도 기뻐해서 우리가 지나갈 때 그 훌륭한 분께서 정말로 황송하게도 마지못하게 고개를 끄덕여 주셨는지도 모르지. ; 그는 그저 형식적으로 공장을 검열했기 때문에 많은 결점들을 보지 못하고 넘어갔다.  참고:[+] cursory
PERIGEE|n. ge(o)(=earth):point in an orbit of a planet or spacecraft at which it is closest to the earth / point of moon's orbit when it is nearest the earth:근지점 / 근지점(달이 지구에 가장 가까와지는 지점)|The unusually low tide tonight is due to the moon's perigee . ; The rocket which was designed to take photographs of the moon was launched as the moon approached its perigee.|오늘 밤 조수가 이상하게 낮은 것은 달이 근지점에 와 있기 때문이다. ; 달 사진을 찍기로 고안된 로케트가 달이 근지점에 접근 했을 때 발사되었다.  참고:
PERIMETER|n. meter(=measure):outer boundary of a closed figure, a military position, an airfield, etc.:주위, 주계, 주변 / 주변의 길이|A stone wall marked the field's perimeter . ; To find the perimeter of any quadrilateral, we add the lengths of the four sides.|돌 담이 밭의 경계를 표시했다. ; 사변형의 둘레는 네 변의 길이를 더하면 구할 수 있다.  참고:[+] circumference, periphery
PERIPATETIC|a. patet(=walk):going about from place to place ; wandering / walking about; moving:여기저기 돌아다니는 ; 순회하는, 배회하는 / 걸어 돌아다니는;|The peripatetic peddler sold trinkets door to door. ; The peripatetic school of philosophy derives its name from the fact that Aristotle walked with his pupils while discussion philosophy with them.|돌아다니는 그 행상인은 이집 저집에서 자질구레한 물건들을 팔았다. ; 철학의 소요학파는 아리스토텔레스가 제자들을 데리고 철학을 논하면서 걸었다는 데서 그 이름이 유래했다.  참고:[+] ambulant, itinerant, nomadic; [-] stationary(정지한, 주둔한)
PERIPHERAL|a. pher(=carry):of external boundary or surface / marginal; outer:주위의, 외곽의 / 주변의|The disease impaired her peripheral vision. ; We lived, not in central London, but in one of those peripheral suburbs that spring up on the outskirts of a great city.|그 병이 그녀의 말초 시신경을 손상시켰다. ; 우리는 런던 중심가가 아니라 대도시 외곽 주변에 생긴 교외 중의 한 지역에서 살았다.  참고:[+] exterior, neighboring
PERIPHERY|n. pher(=carry):external boundary or surface / edge, especially of a round surface:주위, 외면, 외위 / 바깥둘레|The debate touched only the periphery of the issue. ; He sensed that there was something just beyond the periphery of his vision.|그 토론은 문제의 주변적인 것 들만 다루었다. ; 그는 시야가 미치지 못하는 곳에 무엇인가 있음을 느꼈다.  참고:[+] circumference, perimeter
PERISTYLE|n. styl(=column):row of columns surrounding a temple, court, etc. / series of columns surrounding a building or yard:주위열주, 열주랑 / 건물이나 뜰을 둘러싸고 있는 일련의 기둥들, 열주랑(列柱廊)|The cloister was surrounded by a peristyle reminiscent of the Parthenon. ; The cloister was surrounded by a peristyle reminiscent of the Parthenon.|그 수도원은 파르테논을 연상케하는 주주로 둘러싸여졌다. ; 그 수도원은 파르테논 신전을 회상하게 하는 열주량에 의해 둘러싸였다.  참고:
PERJURY|n. per(=falsely) + jur(=swear, law):the act of making a false statement after taking an oath to tell the truth ; wilful false statement / false testimony while under oath:위서, 위증 ; 새빨간 거짓말|She may have given wrong information in court, but this was an honest mistake and certainly does not make her guilty of perjury . ; When several witnesses appeared to challenge his story, he was indicted for perjury.|그녀가 법정에서 틀린 정보를 주었을지 모르지만 그것은 정직한 실수였기때문에 위증 죄가 되는 것은 아니다. ; 여러 목격자들이 그의 얘기에 반박을 가하자 그는 위증죄로 고소되었다.  참고:[+] forswearing; [-] truthful deposition(진실한 선서 증언)
PERMEABLE|a.:porous; allowing passage through:침투성의; 투과할 수 있는|Glass is permeable to light.|유리는 빛을 통과시킬 수 있다.  참고:[+] penetrable, pervious
PERMEATE|v. per(=through) + me < mea(=pass, flow):pass, flow or spread into every part of / pass through;:스며들다, 침투하다, 고루 미치다, 퍼지다|A sour odor of decay, stale air and generations of human living permeated every corner of the old tenement. ; The odor of frying onions permeated the air.|썩는 냄새와 탁한 공기 그리고 여러 세대의 인간 생활이 그 오래된 싸구려 연립주택의 구석구석에 배어있었다 . ; 후라이된 양파들의 냄새가 대기에 퍼졌다.  참고:
PERNICIOUS|a. per(=through, thoroughly) + nic < noc(=harm, kill):injurious ; harmful ; fatal / very destructive:해로운 ; 유해한 ; 치명적인|The more we studied the drug problem, the more we became aware of its pernicious influence on the American people today. ; He argued that these books had a pernicious effect on young and susceptible minds.|마약문제를 연구하면 할수록 오늘날 미국인들에게 끼치는 마약의 나쁜 영향을 더 많이 알게 되었다. ; 그는 이 책들이 어리고 약한 마음들에 해로운 영향을 끼쳤다고 주장했다.  참고:[+] baneful, miasmatic, noxious, pestilential, poisonous, toxic, virulent
PERORATION|n.:conclusion of an oration:연설의 결론|The peroration was largely hortatory and brought the audience to its feet clamoring for action at its close.|연설의 결론은 대단히 권고적이라서 청중들은 그것이 끝나자 발로 시끄러운 소란을 피우게 되었다.  참고:
PERPETRATE|v.:commit an offense:범죄를 저지르다|Only an insane person could perpetrate such a horrible crime.|미친 사람만이 그런 끔찍한 범죄를 저지를 수 있을 것이다.  참고:[+] perform
PERPETUAL|a. per(=through, throughout) + pet(=seek, strive):never-ending ; going on for a long time or without stopping ; continual ; often repeated / everlasting; continuing forever; constant:영구의, 영속하는 ; 부단한, 끊임없는 ; 계속적인 ; 되풀이 되는,빈번한 / 지속적인; 영구적인|Presidents, congressmen, and other officials come and go, but the principles of democracy and freedom on which our government rests are perpetual . ; Ponce de Leon hoped to find perpetual youth.; Bathing in the Fountain of Youth is supposed to assure perpetual beauty.|대통령,국회의원,그리고 다른 공직자들은 오고 가지만 우리 정부가 근거를 두고있는 민주주의와 자유의 원리는 영원하다 . ; 폰스 드 레옹은 영구적인 젊음을 찾고 싶어했다.  참고:[+] ceaseless, constant, continuous, interminable, unceasing; [-] intermittent(간헐적인)
PERQUISITE|n.:any gain above stipulated salary:임시 수당, 부수입|The perquisites attached to this job make it even more attractive than the salary indicates.|이 직업에서 생기는 부수입은 봉급보다 더 낫다.  참고:[+] bonus
PERSIFLAGE|n.:flippant conversation; banter:농담; 희롱|This persiflage is not appropriate when we have such serious problems to discuss.|이 농담은 우리가 그런 진지한 문제를 논의할 때는 적합치 못하다.  참고:[+] badinage
PERSONABLE|a.:attractive:매력적인|The man I am seeking to fill this position must be personable since he will be representing us before the public.|내가 이 지위에 앉히려고 찾는 사람은 대중 앞에서 우리를 대표할 것이기 때문에 매력적이어야 한다.  참고:[+] charming
PERSPICACIOUS|a. per(=through) + spic(=look):quick to judge and understand / having insight; penetrating; astute:이해가 빠른, 예민한, 총명한 / 통찰력이 있는; 이해하기 빠른;|The old judge seemed to be half asleep, but we soon discovered that he was highly perspicacious not only in the legal matters but also in his insight into human nature. ; The brilliant lawyer was known for his perspicacious deductions.|그 늙은 판사가 졸고 있는 것 같았지만 우리는 그가 법률문제뿐만 아니라 인간성을 꿰뚫어 보는데도 예민하다는 것을 곧 알았다. ; 그 뛰어난 변호사는 통찰력 있는 추론으로 이름나 있다.  참고:[+] discerning, intelligent
PERSPICUITY|n.:clearness of expression; freedom from ambiguity:명료; 모호성이 없음|One of the outstanding features of this book is the perspicuity of its author; her meaning is always clear.|이 책의 뛰어난 특징 중의 하나는 작가의 명료함이다. 그녀의 뜻하는 바는 언제나 명확하다.  참고:[+] limpidity, lucidity
PERSPICUOUS|a.:plainly expressed:명백한|Her perspicuous comments eliminated all possibility of misinterpretation.|그녀의 명쾌한 논평들은 모든 오해의 소지를 배제시켰다.  참고:[+] lucent, lucid, luculent, luminous, pellucid, unambiguous
PERT|a.:impertinent; forward:버릇없는; 주제넘은, 건방진|I think your pert and impudent remarks call for an apology.|나는 당신이 건방지고 염치없는 발언을 한 것에 대해 사과를 해야 한다고 생각한다.  참고:[+] audacious, brazen, saucy
PERTINACIOUS|a. per(=intensive) + tin < ten(=hold):not easily giving up what has been started ; unyielding ; determined / stubborn; persistent:완고한, 집요한, 외고집의 ; 불굴의 ; 굳게 결심한|When he continued to go out for the varsity basketball after having been cut several times, was he being foolishly stubborn or commendably pertinacious ? ; obstinate, perverse, refractory|몇번 거절당한 후에도 그가 대학 농구 대표팀을 계속 찾아나선 것은 그가 어리석게도 고집센 것일까? 아니면 칭찬할 만큼 집요한 것일까? ; He is bound to succeed because his pertinacious nature will not permit him to quit.  참고:[+] obstinate, perverse, refractory
PERTINENT|a.:suitable; to the point:-에 관한; 타당한; 요령있는; 관계하다|The lawyer wanted to know all the pertinent details.|변호사는 관련된 모든 세부적인 내용을 알고 싶어했다.  참고:[+] applicable, apposite, apropos, germane, relevant
PERTURB|v. per(=intensive) + turb(=agitate):disturb ; make afraid or anxious / disturb greatly:교란하다 ; 불안<걱정>하게하다 / 마음을 어지럽히다|Jane Adams was the kind of woman who was not only deeply perturbed by the sufferings of other people but who tried hard to do something to help them. ; I am afraid this news will perturb him and cause him grief.|Jane Adams는 다른 사람들의 고통에 심히 괴로워할 뿐만 아니라 그들을 돕기 위해 무엇인가를 하려고 열심히 노력하는 그런 여인이었다. ; 나는 이 소식에 그가 당황하고 슬퍼할까 두렵다.  참고:[+] agitate, discompose, disquiet, disturb, upset
PERTURBATION|n.:agitation:동요; 혼란|I fail to understand why such an innocent remark should create such perturbation.|나는 그런 순수한 말이 그런 동요를 일으키게 하는지 이해하지 못한다.  참고:
PERUSAL|n.:reading:읽음; 정독|I am certain that you have missed important details in your rapid perusal of this document.|나는 당신이 이 문서를 급히 읽다가 중요한 제목을 빠뜨렸다고 확신한다.  참고:
PERVERSE|a. per(=intensive, falsely) + vers(=turn):wilfully continuing in wrongdoing ; wilfully choosing a wrong course / stubborn; intractable:외고집의, 심술궂은 ; 사악한 / 성미가 비꼬인|The psychologist said that troubled young people often have a perverse impulse to do exactly what will be most injurious to them. ; Because of your perverse attitude, I must rate you as deficient in cooperation.|고통받는 젊은이들은 꼭 그들에게 매우 해로운 일을 하려는 그릇된 충동을 갖게 된다고 그 심리학자가 말했다. ; 당신의 고집 센 태도 때문에 나는 당신을 협동심이 부족한 사람으로 평가할 수밖에 없다.  참고:[+] obstinate, pertinacious, refractory
PERVERSION|n.:corruption; turning from right to wrong:타락; 곡해|Inasmuch as he had no motive for his crimes, we could not understand his perversion.|그가 범죄 동기를 갖고 있지 않았기 때문에 우리는 그의 타락을 이해할 수가 없었다.  참고:[+] depravity, iniquity
PERVERSITY|n.:stubborn maintenance of a wrong cause:외고집|I cannot forgive your perversity in repeating such an impossible story.|나는 그런 불가능한 애기들을 되풀이하는 당신의 고집을 용서할 수 없다.  참고:[+] obstinacy, waywardness
PERVIOUS|a.:penetrable:통하게 하는; 감수력 있는|He has a pervious mind and readily accepts new ideas.|그는 마음이 통하는 사람이라서 쉽게 새로운 아이디어들을 받아 드린다.  참고:
PESSIMISM|n.:belief that life is basically bad or evil; gloominess:염세관; 비관|The good news we have been receiving lately indicates that there is little reason for your pessimism.|우리가 받은 최근의 희소식은 당신의 비관주의에는 아무런 이유가 없다는 것이다.  참고:
PESTILENTIAL|a.:causing plague; baneful:역병을 일으키는; 유독한 악취를 내는, 해로운|People were afraid to explore the pestilential swamp.|람들은 해로운 늪을 탐사하기 꺼려했다.  참고:[+] noxious, pernicious
PESTLE|n.:tool for mashing or grinding substances in a hard bowl:절구|Form the way in which the elderly pharmacist pounded the drug with his pestle, young George could tell that his employer was agitated about something.|나이든 약사가 약을 절구에서 어떻게 가는가를 보면 어린 조지는 그가 무엇인가에 화가 나 있는지를 알 수 있었다.  참고:
PETRIFY|v.:turn to stone:돌같이 굳게하다; 망연자실하게 하다|His sudden and unexpected appearance seemed to petrify her.|그가 갑작스럽고 예기치 않게 나타난 것에 그녀는 깜짝 놀라는 것 같았다.  참고:[+] calcify, fossilize, paralyze, stun
PETULANT|a.:touchy; peevish:성급한; 성마른|The feverish patient was petulant and restless.|열병 환자는 신경질적이 되었고 안절부절못했다.  참고:[+] fractious, fretful, irritable, peevish, testy, touchy
PHARISAICAL|a.:pertaining to the Pharisees; self-righteous; hypocritical:전통을 중시했던 바리새인들의; 독선적인; 위선적인|Walter Lippman has pointed out that moralists who do not attempt to explain the moral code they advocate are often regarded as pharisaical and ignored.|윤리 강령은 주창하면서 설명하려고 하지않는 도덕가들은 종종 위선적으로 간주되어서 무시당한다는 점을 왈터 립먼은 지적했다.  참고:
PHENOMENA|n.:observable facts; subjects of scientific investigation:현상|We kept careful records of the phenomena we noted in the course of these experiments.|우리는 이 실험 과정에서 주목했던 현상의 기록을 조심스럽게 보관했다.  참고:
PHIAL|n.:small bottle:작은 병|Even though it is small, this phial of perfume is expensive.|이 작은 향수병은 작지만 비싸다.  참고:
PHILANDER|v.:make love lightly; flirt:시시하게 연애하다; 여자를 따라 다니다; 희롱하다|Do not philander with my affections because love is too serious.|랑은 너무나 진지하기 때문에 나의 연모를 경하게 생각하지 말아라.  참고:
PHILANTHROPIST|n.:lover of mankind; doer of good:박애주의자; 자선가|As he grew older, he became famous as a philanthropist and benefactor of the needy.|그는 나이가 들어 감에 따라 박애주의자로서 가난한 사람에게 은혜를 베푸는 이로서 유명해졌다.  참고:
PHILATELIST|n.:stamp-collector:우표 수집가|When she heard the value of the Penny Black stamp, Phyllis was inspired to become a philatelist.|필리스는 페니 블랙 우표의 가치에 대해 들었을 때 우표 수집가가 되기를 열망했다.  참고:
PHILISTINE|n.:narrow-minded person; uncultured person:속물; 교양없는 사람|We need more men of culture and enlightenment; we have too many philistines among us.|우리는 교양 있고 개화된 사람이 더 많이 필요하다. 우리 중에는 속물이 너무 많다.  참고:[-] aesthete(탐미주의자)
PHILOLOGY|n. phil(=love):study of the development of language, or of particular languages / study of language:언어학|The professor of philology advocated the use of Esperanto as an international language. ; The professor of philology advocated the use of Esperanto as an international language.|그 언어학자는 국제어로서 에스페란토어의 사용을 주장했다. ; 언어학 교수는 에스페란토어를 국제어로 사용할 것을 주장했다.  참고:[+] linguistics
PHLEGMATIC|a.:calm; not easily disturbed; sluggish; apathetic:차분한; 냉담한|The nurse was a cheerful but phlegmatic person.; Mr.Jones is so phlegmatic that he never gets excited about anything.|그 간호원은 유쾌하지만 침착한 사람이었다.  참고:[+] imperturbable, inexcitable; [-] vivacious(활발한)
PHOBIA|n.:morbid fear:공포증|Her fear of flying was more than mere nervousness; it was a real phobia.|비행에 대한 그녀의 걱정은 단순한 신경 과민 이상이었다. 그것은 실제로 공포였다.  참고:
PHYSIOGNOMY|n.:face:인상; 골상학|He prided himself of his ability to analyze a person's character by studying his physiognomy.|그는 관상술을 연구하였기 때문에 사람의 성격을 분석해 내는 능력이 있다고 자랑했다.  참고:[+] countenance, visage
PHYSIOLOGICAL|a.:pertaining to the science of the function of living organisms:리학의|To understand this disease fully, we must examine not only its physiological aspects but also its psychological elements.|이 질병을 완전히 이해하기 위해서는 생리학적 측면에서 뿐만 아니라 심리학적 요소도 조사해야 한다.  참고:
PICARESQUE|a.:pertaining to rogues in literature:악한을 제재로 한|"Tom Jones" has been hailed as one of the best picaresque novels in the English language.|'톰 존스'는 영어고 된 가장 뛰어난 악한 소설 중의 하나로 여겨지고 있다.  참고:
PIEBALD|a.:mottled; spotted:잡색의; 얼룩의|You should be able to identify this horse easily as it is the only piebald horse in the race; the others are all one color.|이 말은 경마 중에서 유일한 얼룩말이기 때문에 당신은 쉽게 확인할 수 있을 것이다. 다른 말들은 모두 단색이다.  참고:[+] brindled, pied
PIED|a.:variegated; multicolored:잡색의; 얼룩덜룩한|The Pied Piper of Hamelin got his name from the multicolored clothing he wore.|헤므린의 다색의 피리부는 사람이란 이름은 그가 입은 옷의 색깔이 여러 가지인 데서 나왔다.  참고:[+] bridle, piebald; [-] solid-colored(무늬가 없는 색의)
PIETY|n.:devoutness; reverence for God:경건 / 신앙심;|Living her life in prayer and good works, Mother Teresa exemplifies the true spirit of piety.|기도와 선행을 하며 살아왔기 때문에 테레사 수녀는 경건한 참된 영혼의 실례가 된다.  참고:[+] devotion, veneration, worship
PILLAGE|n.v. pil:plunder especially in war / deprive of money or property by violence, loot:<<특히 전시의>>약탈,강탈 / 약탈<<강탈>>하다 / 약탈하다|The sale of so many great works of art to foreign museums and collectors is, in my eyes, little more than pillage of our cultural treasures. ; The enemy pillaged the quiet village and left it in ruins.|외국의 박물관과 수집가들에게 그렇게 많은 위대한 예술 작품을 팔아 넘기는 것은 내가 보기엔 우리의 문화적 보고의 약탈 일 뿐이다. ; 적은 조용한 마을을 약탈하여 폐허로 만들어 버렸다.  참고:[+] despoil, depredate, ravage, spoliate
PILLORY|v.:punish by placing in a wooden frame and subjecting to ridicule:웃음거리로 만들다; 칼을 씌우다|Even though he was mocked and pilloried, he maintained that he was correct in his beliefs.|그는 조롱 당하고 웃음거리가 되었지만 자기 신념이 옳다고 주장했다.  참고:
PINION|v.:restrain:묶다; 속박하다|They pinioned his arms against his body but left his legs free so that he could move about.|그들은 그의 양팔을 몸에 붙들어매었지만 다리가 자유로워서 그는 이리저리 움직일 수 있었다.  참고:[+] bridle(cf. 말굴레,고삐), fetter, manacle, shackle, tether
PINNACLE|n. pin(=dom):tall, pointed ornament built on to a roof or buttress ; high, slender mountain peak ; highest point:프렴? 첨탑 ; 산봉우리; 최고점, 정점 / 작은 뾰족탑;|It is a sobering thought that when one has reached the pinnacle of a mountain, there is nowhere to go but down. ; We could see the morning sunlight illuminate the pinnacle while the rest of the mountain lay in shadow.|의 정상에 올랐을 때는 내려가는 길밖에 없다는 것은 냉철한 생각이다. ; 우리는 산꼬대기에 아침 햇빛이 비치는 것을 볼 수 있었지만 나머지 부분은 그늘져 있었다.  참고:[+] acme, apex, climax, culmination, summit, zenith
PIOUS|a.:devout:신앙심이 깊은; 신앙이 독실한|The pious parents gave their children a religious upbringing.|신앙심이 깊은 부모들은 자식들을 종교적으로 양육했다.  참고:[+] religious
PIQUANT|a.:pleasantly tart-tasting; stimulating:(맛이) 톡쏘는, 자극적인, 얼얼한; 통렬한|The piquant sauce added to our enjoyment of the meal.|톡 쏘는 소스가 식사의 맛을 돋구었다.  참고:[+] poignant, pungent
PIQUE|n.:irritation; resentment:화; 불쾌|She showed he pique by her refusal to appear with the other contestants at the end of the contest.|그녀는 대회가 끝났을 때 다른 참가자와 같이 나타나지 않음으로써 자기의 역정을 드러냈다.  참고:[+] umbrage, exasperation, provocation; [-] molify(달래다)
PISCATORIAL|a.:pertaining to fishing:낚시의; 물고기의|He spent many happy hours at the lake in his piscatorial activities.|그는 호수에서 낚시를 하며 많은 시간을 행복하게 보냈다.  참고:
PITHY|a.:concise; meaty:간결한; 함축성 있는|I enjoy reading his essays because they are always compact and pithy.|나는 그의 에세이가 늘 짧고 간결하기 때문에 즐겨 읽는다.  참고:[+] epigrammatic, laconic, succinct terse
PITTANCE|n.:a small allowance or wage:약간의 수당이나 임금|He could not live on the pittance he received as a pension and had to look for an additional source of revenue.|그는 연금으로 받는 적은 수입으로는 살 수 없어서 부수입원을 찾아야만 했다.  참고:
PIVOTAL|a.:central; critical:중요한|De Klerk's decision to set Nelson Mandela free was pivotal:without Mandela's release, there was no possibility that the African National Congress would entertain thalks with the South African government.|낼슨 만델라를 석방시킨 드 클러크의 결정은 중요했다. 만델라의 석방없이는 아프리카 민족의회가 남아프리카 정부와 즐거운 회담을 나누기란 불가능하기 때문이었다.  참고:[+] cardinal, momentous
PLACATE|v. plac(=peace) + ate(=make):soothe ; pacify / conciliate; to appease:달래다 ; 가라앉히다 / 평화스럽게 하다;|Some historians believe that if the British government had made a sincere effort to placate the colonists, the American Revolution might never have occurred. ; The teacher tried to placate the angry mother.; The manager tried to placate the angry customer by offering to exchange his purchase.|영국 정부가 식민지인들을 달래려는 진지한 노력을 했더라면 미국 독립전쟁은 일어나지 않았으리라고 어떤 역사가들은 믿고 있다. ; 교사는 어머니의 노여움을 진정시키려고 애썼다.  참고:[+] appease, assuage, mollify, propitiate; [-] antagonize(∼의 반감을 사다)
PLACEBO|n.:harmless substance prescribed as a dummy pill:위약(僞藥 ; 정신적 효과를 얻으려고 주는 가짜약)|In a controlled experiment, fifity volunteers were given erythromycin tablets; the control group received only placebos.|통제된 실험하에서 50명의 지원자는 에리트로마이슨 알약을 받았다. 대조군은 단지 위약을 받았다.  참고:
